apk_name,api_calls,permissions,suspicious_resources,entropy,version,storage,base_name_length,top_level_domain_match,sensitive_api_count,label
com.wvagpe.xhrhoppe,14328,57,92,10.0,0.184,39.94,19,0,72,scam
wKgBiGVR5NOAGEhKAljowOIKhFA316,16414,40,94,4.32323142879762,1.65,37.56,30,1,80,white
com.ggle.android.gsf_12_31,3695,72,46,4.026986833359286,12.7567768,7.05,26,1,14,black
tms-prod-1.0.36,8268,31,41,3.640223928941852,1.016,24.8,15,1,33,white
xpjylc805202_Android_production,15156,34,105,4.1313003425053605,2.0,39.3,31,1,19,gamble
zw.ytwd.hnuw,4985,8,56,3.0220552088742,1.0,18.49,12,0,12,scam
renwoxingpjb_v5.1.2.0_downyi.com,61,188,35,4.265319531114783,0.0,7.19,32,1,2,white
zhongshengzhilu1081670,6824,16,29,3.788754913993503,2.13,54.75,22,1,25,white
9a5465599b8140cfb0c2dd72db4c8455,27,83,73,3.605337797403416,3.002,60.74,32,0,0,black
ddttmh0002,7818,12,26,2.4464393446710155,2.705,10.87,10,1,39,sex
ymxxl-90010,1790,13,102,2.8453509366224368,2.01,92.36,11,1,3,white
91kanpian_0927,10011,14,20,3.3787834934861767,8.1834026616,18.28,14,0,61,sex
hui.member,3445,11,40,2.9219280948873623,1.4,24.01,10,0,5,white
com.apkpure.aegon,10679,40,15,3.499227547132693,3.1968,9.56,17,1,27,scam
jtyudi-90008,1790,13,101,3.188721875540867,2.01,98.01,12,1,3,white
paiqiushaonian,9759,11,86,2.985228136034252,1.32,31.54,14,1,16,black
mmxxl-90008,1790,13,68,2.663532754804255,2.01,83.52,11,1,3,white
49shipin_1015,8439,20,31,3.3927474104487847,6.666,20.88,13,1,79,sex
zhinengshenp,8301,31,50,2.8553885422075336,2.5,50.96,12,1,51,white
laowang,7881,29,32,2.5216406363433186,1.1,24.54,7,1,51,sex
rj_anburuanjinaku,7453,14,18,3.013070929103845,4.1,6.8,17,1,24,sex
taxmobile-gds-release_146_sign,15,42,99,4.081727678869736,1.46,51.97,30,1,0,white
9177,3184,15,103,1.5,1.001,69.04,4,1,11,gamble
weizhibiji_v7.8.3_downyi.com,11224,31,52,4.008621780036165,7.83,39.06,28,1,130,white
com.ggle.android.gms_203915019,39084,232,77,4.189898095464288,20.39150404003351,75.59,30,1,43,black
hm_gspace_release,14898,182,33,3.2639334294856344,2.26,15.27,17,1,45,white
53f8860bffa3b3f9370040bd10022bad,2757,2,5,3.515319531114783,1.02,1.31,32,1,5,gamble
wx,16088,45,91,10.0,4.17,60.14,2,0,68,scam
67,4428,8,29,1.0,3.5,9.49,2,1,13,sex
aqdlt_android_0828,2573,3,9,3.572431251322119,1.2,3.7,18,1,7,sex
10,7214,43,40,1.0,1.06,26.53,2,0,51,black
com.byucbxa.cnjknsq,8925,8,96,10.0,1.0,36.53,19,0,25,scam
ZqERp,8629,33,28,2.321928094887362,1.0,15.55,5,0,52,black
c8a92555ecac4548b003afc1197b4cb7,13195,26,68,3.6289280318460246,8.3001,26.45,32,1,56,scam
SAiNjKl-147YP,15,14,58,3.7004397181410926,4.7,30.54,13,1,0,sex
qslkjfzsxz1050542,23497,33,91,3.616874605956223,1.0,43.84,17,1,177,white
ty720,8100,12,40,2.321928094887362,3.2,16.47,5,1,58,sex
tiexzz,635,6,153,2.2516291673878226,1.15,24.37,6,1,4,white
MINSHENG,2289,2,8,2.75,1.0,33.01,8,1,5,scam
base10,14478,67,99,10.0,2.7,54.06,6,0,277,scam
4090643dbe68cb4dc51e615e3fe6fa77,11327,25,69,3.788909765557392,1.15,20.98,32,1,18,sex
zhihu_20230714163648_3.2.0-zxza369,3628,14,42,3.998652546878167,3.2,35.87,34,1,6,sex
4ed1dd2e80f254a166241426d371563f,2529,11,13,3.5,2.02,55.05,32,1,7,scam
huang3,8828,53,76,2.584962500721156,1.13,38.3,6,1,50,sex
csss01,27389,67,158,1.7924812503605778,6.140202310181836,99.28,6,1,101,sex
new_deppon_pma,74,61,51,3.039148671903071,0.1161,33.86,14,1,0,white
dytt_tdytt051x_1.1.0,10173,21,70,3.0037016960573486,1.1,11.68,20,1,10,black
6tydj6ty1351,7172,22,48,2.9182958340544896,4.0,20.26,12,1,20,gamble
反诈调证-4.1.0,4788,20,17,3.1219280948873624,4.1,4.95,10,1,27,scam
zjbwdl23zs,11637,22,43,3.121928094887362,4.1,47.26,10,1,126,white
15060399,288,6,181,2.5,3.43,96.46,8,1,0,black
51luoli_0801,11168,13,30,3.084962500721156,3.3,16.93,12,1,41,sex
honghuojia,4780,22,134,2.9219280948873623,1.0,12.86,10,1,12,black
%E5%BF%AB%E9%B8%9F1.2.48,34,20,52,3.3239348962840563,1.248,12.31,24,1,0,black
mercury_v2_1681385058241.1.8_2023-03-17_release,3479,18,85,4.195561128679186,2.18,19.46,47,1,4,white
GoogleServicesFramework,1210,66,4,3.762267390651495,4.22612687,1.53,23,1,7,black
jz,15052,65,133,1.0,1.8,69.89,2,0,291,scam
huoguo_1.0.2,17722,18,113,3.084962500721156,1.02,89.18,12,1,126,white
SAiNjKl_qra48,15,14,58,3.7004397181410926,4.7,30.54,13,1,0,sex
com.huluxia.gametools42185,15600,37,159,4.132944044980958,4.2185,34.96,26,1,29,black
zh1212_3.0.0_release,11932,31,159,3.5841837197791886,3.0,66.76,20,1,35,gamble
base8,14328,57,73,10.0,5.3275,40.95,5,0,72,scam
yidaiyilu,3617,14,61,2.4193819456463714,1.0,4.13,9,1,6,white
app-dsgnb78-release,8958,21,27,3.576617644908665,1.173912,31.96,19,1,14,gamble
mv_8x8xshipin,9940,13,17,3.238901256602631,2.2,13.15,13,1,46,sex
525027,13086,17,20,1.9182958340544891,2.01,17.96,6,1,67,black
NB_Android_OneApp_v2.2.9_b11_Release_202307211342__sign,12879,32,88,4.394729486133924,2.29,30.52,55,1,66,sex
WindmillVPN_v2.61,5565,12,21,3.8521687236032816,2.61,7.46,17,1,14,black
2c,4428,8,29,1.0,3.5,9.49,2,1,13,sex
1310400004,6199,24,35,1.7609640474436812,1.01,40.54,10,1,17,gamble
1.4.42_s115140_c0_v2,27228,53,63,3.1464393446710157,1.442,49.72,20,1,211,black
aoye_1.0.3_2023-05-27-16-06,8176,25,24,3.6158175946759328,1.03,11.27,27,1,32,black
59,34,12,15,10.0,2.061,11.8,2,0,0,black
ETos,3487,12,14,2.0,1.44,3.58,4,1,6,white
ydm_33,6875,15,36,2.2516291673878226,1.33,46.64,6,1,60,white
7c319ea46c93aa3a10b4e021dc8880d7,30731,58,137,3.694548827786958,1.05714,89.01,32,1,239,black
shlsys1008,7868,12,27,2.646439344671016,2.719,11.66,10,1,39,sex
com.amap.twreidingconcerningvaliut.tokonyoutvuleva,3057,18,6,4.063981820580905,1.1,4.47,50,1,7,gamble
09240a70047a97b73237b8afea507934,18752,66,81,3.331747562960808,3.5,81.78,32,0,126,black
zxdy,6925,37,15,2.0,1.0,6.95,4,1,11,white
61890,6468,12,23,2.321928094887362,2.69,10.25,5,1,36,sex
vcl298,34,36,51,2.584962500721156,2.584,28.5,6,1,0,sex
cxzq,34,24,26,2.0,24.0217,34.56,4,1,0,scam
20231024-234328,3985,23,27,2.5492553971685,4.31,36.68,15,1,7,sex
hymn,9819,11,35,2.0,5.21,22.49,4,1,26,white
sdfsfds-MNNYP,15,14,66,2.873140679513133,1.57,27.13,13,1,0,sex
appshare,3247,9,47,2.5,4.9,23.62,8,1,5,sex
噫贝易,6790,37,14,1.584962500721156,1.0,6.04,3,1,12,white
com.ggle.android.gsf_10_29,744,71,45,4.103909910282363,10.647567,4.1,26,1,2,black
com.unkk.hcvv,2374,11,34,3.085055102756477,8.161,10.44,13,1,4,scam
app-product-release,22708,40,57,3.43162356584743,1.051,40.35,19,1,205,white
yxwpjsq0006,12026,18,20,3.027169118440619,30.2,12.27,11,1,103,black
26530e8cee9d03860d84d2d305b58cdc,587,4,3,3.417837797403416,1.0,0.33,32,1,5,black
douyin18,5094,13,30,3.0,9.99,10.33,8,0,10,black
yqz178,10997,52,64,2.584962500721156,7.112,20.35,6,1,33,scam
leisi_master,7365,11,48,3.084962500721156,8.06,24.34,12,0,25,sex
mv_1024shipin,9940,13,17,3.546593564294939,2.2,13.15,13,1,46,white
hybook,38,23,24,2.251629167387823,1.17,11.83,6,1,2,white
Android_OneApp_v2.2.9_b11_Release_202307211314__sign,12879,32,88,4.323023316113392,2.29,30.52,52,1,66,sex
5fb30c036f96264461c6ae42587ed0dd,11366,25,63,3.8164280318460246,2.48,17.85,32,0,18,sex
04fef0b5fcb9c8cc3365bf6f29bd02d1,9907,26,114,3.6136085007312415,2.27,95.5,32,1,59,scam
xshhxhz1215,2915,4,15,2.663532754804255,1.0,38.71,11,0,9,sex
mv_dounaishipin,9940,13,17,3.4565647621309536,2.2,13.15,15,1,46,white
mv_jiuye,9940,13,17,3.0,2.2,13.16,8,1,46,sex
Light_qd13,27,14,32,3.321928094887362,2.15,25.65,10,1,0,white
haoflyApp,6614,37,92,2.9477027792200903,1.56,18.09,9,0,49,black
80028,34,12,14,10.0,8.3272,11.96,5,0,0,black
yxdmjsq0004,12026,18,20,3.027169118440619,30.2,12.27,11,1,103,black
safeapp,10021,33,39,2.235926350629033,1.047,27.99,7,1,67,white
shipping,27,30,62,2.5,1.75,45.17,8,1,0,white
qianxun,260,29,58,2.521640636343318,1.08,41.18,7,1,1,white
zljec,2966,12,86,2.321928094887362,2.2,58.82,5,1,6,white
okx-android,65237,79,933,3.0957952550009344,6.59,289.79,11,1,170,scam
jiafeimao_v1.8.4.1-release-2022_07_29-17-21_sign,7584,43,48,4.254247855285174,1.841,29.65,48,1,36,white
mtxfczbca,10,13,9,10.0,1.0,17.9,9,0,0,white
26edec3c8b83b984204267e96ae022e1,34,17,3,3.6022170014624826,1.3,3.99,32,1,2,black
2fb31579f356653af8f5eadc83734e47,10025,39,17,3.6761085007312415,1.18,14.55,32,1,64,sex
kb-ycpa52,5066,14,26,3.169925001442312,2.1,11.82,9,1,21,white
SDK,1175,4,5,1.584962500721156,3.0,0.63,3,1,4,black
shyy,11151,17,45,1.5,4.16,23.48,4,1,85,sex
sdjsq_58419,9729,29,36,3.2776134368191165,1.31,17.39,11,1,30,black
SonyHires-backoffice-3.6.91698827043429,17786,46,35,4.548097411114467,3.69,63.24,39,1,77,white
89hrhwi2xgtdndx4e7,7172,22,48,3.8365916681089782,4.0,20.28,18,1,20,black
lets-579,6,42,34,3.0,2.1824,50.12,8,0,0,white
install,4666,15,22,2.521640636343318,2.21,25.76,7,1,6,scam
32-hc141app-release,3715,4,5,3.5766176449086653,1.0,2.12,19,1,6,black
7dy,6553,28,8,1.584962500721156,1.0,5.03,3,1,29,gamble
com.gchfm.gchfm,9792,30,41,2.739572261986723,23.1208,30.1,15,1,56,scam
mv_huoyanshipin,9940,13,17,3.506890595608519,2.2,13.16,15,1,46,white
5f9028a4aff659a277ad1d002b3f7f6c,3621,18,13,3.691428031846024,1.8,5.43,32,1,17,sex
mdmjgfb_,39872,63,288,2.75,8.1911,98.96,8,1,647,white
com.H3hQkPV0O.YHCcl,8049,10,26,3.932138039759373,1.0,25.49,19,1,68,scam
shiwenys0044,7862,12,27,3.084962500721156,2.718,11.83,12,1,39,sex
16-hc496app-release,3715,4,5,3.5766176449086657,1.0,2.14,19,1,6,gamble
renwoxing_downyi.com,7327,33,63,3.6464393446710153,2.04,20.1,20,1,42,white
pz_plugin_works_v1.1_release_new,4714,9,9,3.9496987351738495,1.1,3.48,32,0,9,white
bv,10447,36,91,1.0,3.32,28.3,2,1,53,gamble
A1B9E075897DA54DF1E9A2EBF693C49A,27,47,212,3.8011085007312415,0.0974,82.51,32,1,0,white
wwxu,2555,3,39,1.5,1.0,6.32,4,1,5,sex
my5obk0m72is,7172,22,48,3.418295834054489,4.0,20.27,12,1,20,gamble
vcb6xg8n613,7172,22,48,3.277613436819116,4.0,20.26,11,1,20,gamble
shuzirmb,16048,74,91,3.0,1.011,74.43,8,1,147,scam
caomeiyinghe13,3621,18,13,3.52164063634332,1.8,5.43,14,1,17,sex
book0616,12143,26,92,2.5,2.54,48.1,8,0,78,sex
sdApp,6693,25,22,1.9219280948873625,1.01,11.28,5,0,51,white
ompug5,7038,181,11,2.584962500721156,2.03,4.72,6,1,27,sex
815020,13086,17,20,2.251629167387823,2.01,17.95,6,1,67,black
62040,6468,12,22,1.9219280948873625,2.69,10.27,5,1,36,sex
kaoshizuobishaonvdejiaoyufangfa,17,54,180,3.8456631498513816,2.0311,66.97,31,1,0,white
ant0531,4822,11,27,2.807354922057604,2.64,14.95,7,1,10,black
万禾,14993,72,119,10.0,1.0,71.07,2,0,288,scam
com.wahua.yangyang,1285,15,157,3.2810361125534238,2.0,75.89,18,1,7,gamble
tfxlb853175,27,43,59,3.277613436819116,1.0,75.23,11,1,0,white
29e9bbb51a5b115132177d30f42c7cc5,3621,18,13,3.5664280318460246,1.8,5.43,32,1,17,sex
shlsys0078,7868,12,27,2.6464393446710157,2.719,11.65,10,1,39,sex
91video261-230614,4070,19,29,3.572469458770136,2.61,41.33,17,1,8,sex
ミミ,10761,46,171,10.0,4.73,34.02,2,0,31,scam
com.huaxiaozhu.driver_123768,16673,40,93,4.307354922057604,1.4,80.51,28,1,94,black
qqhh,4211,2,9,1.0,1.0,3.39,4,1,6,black
mt_0727,2207,22,46,2.521640636343318,1.02,23.93,7,1,6,sex
zf6v816zf8,7172,22,48,2.5219280948873624,4.0,20.26,10,1,20,gamble
console-release4.2.83.1,38,29,34,3.7081320646586016,4.2831,22.66,23,1,2,white
feiyue30023,7864,15,31,2.9139770731827523,2.63,32.4,11,1,32,white
iwantu.app,6633,34,68,2.9219280948873623,1.16,25.03,10,0,21,sex
P35_3915_com.longquan126.cn_v1511_202307010340,6564,35,66,4.14564721724714,1.511,41.5,46,1,14,gamble
douyin_tdy3975_5.2.1,15445,26,125,3.821928094887362,5.21,36.65,20,1,27,sex
com.lyudfbxm,5028,13,13,3.418295834054489,1.0,20.49,12,1,11,scam
android,5812,28,29,2.5216406363433186,1.117,8.78,7,1,47,white
zjsoft0005,7818,12,26,2.8464393446710154,2.705,10.83,10,1,39,sex
hls_1.4.3,15,15,70,2.94770277922009,1.43,28.99,9,1,0,black
gotobrowser-2.10-rev9-release,3409,10,9,3.784897702756409,2.109,11.29,29,1,29,black
12-hc465app-release,3715,4,5,3.6818808028034025,1.0,2.14,19,1,6,gamble
com.huaxiaozhu.driver_1.22.17,4216,39,105,4.03039478823102,1.2217,86.83,29,1,2,black
nanolite1.1.10,14936,31,78,3.1820058147602133,1.11,59.67,14,1,84,white
68zxv6f,7172,22,48,2.5216406363433186,4.0,20.26,7,1,20,gamble
c2cf36b672d0c115c102e1196645d27d,4107,15,16,3.551108500731241,3.13,3.83,32,1,59,black
益民协办,14994,72,89,10.0,1.0,72.88,4,0,287,scam
hxsyjsbbgrjxz1049970,6905,17,43,3.721928094887362,1.03,26.89,20,0,51,white
huoshanshiwan,12502,35,116,2.873140679513133,1.11,43.09,13,1,154,scam
wypy,36,32,48,1.5,1.0112,41.8,4,1,1,white
Click_me_to_install_SnapTube_tube_snaptube2021_ad,26508,33,60,4.172443834665063,7.0907096131,22.43,49,1,153,white
mtsp,17,4,7,10.0,1.0,3.97,4,0,0,sex
1699844733046,6746,35,69,2.8731406795131336,4.1016,16.54,13,1,35,black
huoying1060755,3105,21,3,3.521640636343319,2.1,4.86,14,1,7,black
56f70de5e3bc8ac4890af8e75968c36f,12965,71,246,3.694548827786958,10.1,81.19,32,1,152,black
android_385531710409242,2757,2,5,3.914866303883101,1.02,1.31,23,1,5,gamble
68lsh4t6hwylfitk0p,7172,22,48,3.725480556997868,4.0,20.28,18,1,20,gamble
dyyx,366,18,69,1.5,1.0,60.62,4,1,2,gamble
tt214811.5920,357,4,5,3.0269868333592878,2.83,0.9,13,1,3,sex
626004,13086,17,20,1.9182958340544891,2.01,17.94,6,1,67,black
+++,15905,74,90,10.0,1.2,90.03,3,0,296,scam
86-yl.cll.im.nenif,10714,37,90,3.419381945646371,7.28,20.64,18,0,17,scam
zhejiangxinwen11648,15937,39,77,3.6818808028034016,8.37,71.22,19,1,34,white
bcfeebhr.cfadhbes.dhhcject,23,25,56,3.363713275750189,3.721,31.05,26,0,0,scam
mv_luolishe,9940,13,17,3.277613436819116,2.2,13.37,11,1,46,white
PDA_RUINENG_PRO_3.0.42_202311140910389519959,6696,33,34,4.079225801519103,3.042,19.35,44,0,51,white
hxl0015,8828,53,76,2.521640636343318,1.13,38.3,7,1,50,sex
musiverse,9977,17,38,2.725480556997868,1.2,24.34,9,1,34,white
xhds,27,13,18,2.0,1.029,14.25,4,1,0,white
